,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие метана,Радиационное воздействие углекислого газа
1039,2007-10-16 00:00:00,"27.00, 30.00",-4.857321739196777,-0.1078070327639579,-0.0679409876465797
1040,2007-10-16 00:00:00,"27.00, 33.00",-5.993865966796875,-0.1455501466989517,-0.0905313789844513
1041,2007-10-16 00:00:00,"24.00, 27.00",-3.036811113357544,-0.1198700964450836,-0.0741020962595939
1042,2007-10-16 00:00:00,"24.00, 30.00",-5.402945041656494,-0.122850477695465,-0.0768993720412254
1043,2007-10-16 00:00:00,"24.00, 33.00",-7.192752361297607,-0.1379227191209793,-0.0870794504880905
1044,2007-11-16 00:00:00,"30.00, 27.00",0.680615246295929,0.310699462890625,1.1300760507583618
1045,2007-11-16 00:00:00,"30.00, 30.00",0.7002115845680237,0.3197031617164612,1.201905369758606
1046,2007-11-16 00:00:00,"30.00, 33.00",0.5826395750045776,0.311755359172821,1.177130103111267
1047,2007-11-16 00:00:00,"27.00, 27.00",0.8713653683662415,0.3814127743244171,1.3362009525299072
1048,2007-11-16 00:00:00,"27.00, 30.00",0.963476538658142,0.412832647562027,1.467858910560608
1049,2007-11-16 00:00:00,"27.00, 33.00",0.6684122681617737,0.4430460631847381,1.6811076402664185
1050,2007-11-16 00:00:00,"24.00, 27.00",0.5666168332099915,0.4343149960041046,1.5565470457077026
1051,2007-11-16 00:00:00,"24.00, 30.00",0.9420918822288512,0.4310099184513092,1.560064673423767
1052,2007-11-16 00:00:00,"24.00, 33.00",0.9121846556663512,0.4387054443359375,1.650761961936951
1053,2007-11-16 00:00:00,"30.00, 27.00",-3.364539623260498,-0.0970733612775802,-0.0546279922127723
1054,2007-11-16 00:00:00,"30.00, 30.00",-3.435642719268799,-0.1011978164315223,-0.0570058189332485
1055,2007-11-16 00:00:00,"30.00, 33.00",-2.717190742492676,-0.0976559966802597,-0.0555857345461845
1056,2007-11-16 00:00:00,"27.00, 27.00",-3.594141721725464,-0.1029174774885177,-0.0589406341314315
1057,2007-11-16 00:00:00,"27.00, 30.00",-3.8907766342163086,-0.1078625991940498,-0.0614522285759449
1058,2007-11-16 00:00:00,"27.00, 33.00",-3.777945280075073,-0.1517898589372635,-0.0856638625264167
1059,2007-11-16 00:00:00,"24.00, 27.00",-2.646899461746216,-0.1163566559553146,-0.0679896026849746
1060,2007-11-16 00:00:00,"24.00, 30.00",-4.31125020980835,-0.1229220107197761,-0.0718488022685051
1061,2007-11-16 00:00:00,"24.00, 33.00",-5.018269062042236,-0.1465026885271072,-0.0854125991463661
1062,2007-12-16 00:00:00,"30.00, 27.00",0.4824701249599457,0.2943036556243896,1.0397073030471802
1063,2007-12-16 00:00:00,"30.00, 30.00",0.4873017370700836,0.3236113488674164,1.1597909927368164
1064,2007-12-16 00:00:00,"30.00, 33.00",0.5079522728919983,0.3245672285556793,1.1522295475006104
1065,2007-12-16 00:00:00,"27.00, 27.00",0.601752519607544,0.347808837890625,1.182671308517456
1066,2007-12-16 00:00:00,"27.00, 30.00",0.6790761351585388,0.3751132190227508,1.2938331365585327
1067,2007-12-16 00:00:00,"27.00, 33.00",0.5146405696868896,0.4149435758590698,1.4903652667999268
1068,2007-12-16 00:00:00,"24.00, 27.00",0.443964809179306,0.4233250916004181,1.498779296875
1069,2007-12-16 00:00:00,"24.00, 30.00",0.7198634147644043,0.4190634489059448,1.4999399185180664
1070,2007-12-16 00:00:00,"24.00, 33.00",0.7142166495323181,0.4199937283992767,1.5549168586730957
1071,2007-12-16 00:00:00,"30.00, 27.00",-2.626240968704224,-0.0910747870802879,-0.0484126918017864
1072,2007-12-16 00:00:00,"30.00, 30.00",-2.670498847961426,-0.0977396816015243,-0.0520056448876857
1073,2007-12-16 00:00:00,"30.00, 33.00",-2.3376541137695312,-0.0929363593459129,-0.0494879446923732
1074,2007-12-16 00:00:00,"27.00, 27.00",-2.7591350078582764,-0.0917382985353469,-0.0507128313183784
1075,2007-12-16 00:00:00,"27.00, 30.00",-3.0914018154144287,-0.095070868730545,-0.0523140206933021
1076,2007-12-16 00:00:00,"27.00, 33.00",-3.087707042694092,-0.1338151544332504,-0.0727384015917778
1077,2007-12-16 00:00:00,"24.00, 27.00",-2.299455642700196,-0.111004002392292,-0.0622359253466129
1078,2007-12-16 00:00:00,"24.00, 30.00",-3.754072427749634,-0.1179031878709793,-0.0660178884863853
1079,2007-12-16 00:00:00,"24.00, 33.00",-4.354824542999268,-0.1390732824802398,-0.078391782939434
1080,2008-01-16 00:00:00,"30.00, 27.00",0.470794677734375,0.2621479630470276,0.941477119922638
1081,2008-01-16 00:00:00,"30.00, 30.00",0.6289476156234741,0.3137330114841461,1.1184229850769043
1082,2008-01-16 00:00:00,"30.00, 33.00",0.5942988395690918,0.3347350060939789,1.1893680095672607
1083,2008-01-16 00:00:00,"27.00, 27.00",0.657433807849884,0.3438907861709595,1.207815408706665
1084,2008-01-16 00:00:00,"27.00, 30.00",0.798133134841919,0.3774290978908539,1.3390488624572754
1085,2008-01-16 00:00:00,"27.00, 33.00",0.5872674584388733,0.4069602787494659,1.4994832277297974
1086,2008-01-16 00:00:00,"24.00, 27.00",0.5443100333213806,0.4003492891788482,1.4413713216781616
1087,2008-01-16 00:00:00,"24.00, 30.00",0.6938565373420715,0.4002129435539245,1.429087519645691
1088,2008-01-16 00:00:00,"24.00, 33.00",0.6584787964820862,0.3868895471096039,1.4401869773864746
1089,2008-01-16 00:00:00,"30.00, 27.00",-2.373821973800659,-0.0874975845217704,-0.0457992553710937
1090,2008-01-16 00:00:00,"30.00, 30.00",-2.774655342102051,-0.0996241420507431,-0.0515633858740329
1091,2008-01-16 00:00:00,"30.00, 33.00",-2.930532217025757,-0.0980633124709129,-0.050817921757698
1092,2008-01-16 00:00:00,"27.00, 27.00",-2.547493696212769,-0.0978649482131004,-0.0537963360548019
1093,2008-01-16 00:00:00,"27.00, 30.00",-2.8508896827697754,-0.1006073504686355,-0.055834125727415
1094,2008-01-16 00:00:00,"27.00, 33.00",-3.607232809066773,-0.1403737217187881,-0.07856947183609
1095,2008-01-16 00:00:00,"24.00, 27.00",-1.9412647485733032,-0.1099280044436454,-0.0635368600487709
1096,2008-01-16 00:00:00,"24.00, 30.00",-2.8663156032562256,-0.1155575141310691,-0.0667805820703506
1097,2008-01-16 00:00:00,"24.00, 33.00",-3.6481082439422607,-0.1331666558980941,-0.0780063718557357
1098,2008-02-16 00:00:00,"30.00, 27.00",0.5874202251434326,0.3106205463409424,1.1363052129745483
1099,2008-02-16 00:00:00,"30.00, 30.00",0.597019612789154,0.3361258804798126,1.2084119319915771
